index,source_id,source_origin_time,source_origin_uncertainty_sec,source_latitude_deg,source_latitude_uncertainty_km,source_longitude_deg,source_longitude_uncertainty_km,source_depth_km,source_depth_uncertainty_km,split,source_magnitude,source_magnitude_uncertainty,source_magnitude_type,source_magnitude_author,path_back_azimuth_deg,station_network_code,station_code,trace_channel,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_completeness,trace_has_spikes,trace_start_time,trace_S1_arrival_sample,trace_S1_status,trace_S1_polarity,trace_name_original,trace_P1_arrival_sample,trace_P1_status,trace_P1_polarity,trace_Pg_arrival_sample,trace_Pg_status,trace_Pg_polarity,trace_Sg_arrival_sample,trace_Sg_status,trace_Sg_polarity,trace_SmS_arrival_sample,trace_SmS_status,trace_SmS_polarity,trace_PmP_arrival_sample,trace_PmP_status,trace_PmP_polarity,trace_Pn_arrival_sample,trace_Pn_status,trace_Pn_polarity,trace_P_arrival_sample,trace_P_status,trace_P_polarity,trace_Sn_arrival_sample,trace_Sn_status,trace_Sn_polarity,trace_chunk,trace_component_order
0,2020zmwrjy,2020-12-27T02:46:42.620452Z,,47.14764063,0.6204931895,6.37134311,0.9277545233,10.965625,2.11695806,test,1.965074269,0.2128535104,MLhc,SED,247.11081381,CH,MTI01,HG,,47.37911,7.16541,514.0,"bucket1$0,:3,:30001",250.0,1.0,False,2020-12-27T02:46:03.116000Z,14999.0,manual,undecidable,2020zmwrjy_CH.MTI01.,,,,,,,,,,,,,,,,,,,,,,,,,,ZNE
1,2020zmwrjy,2020-12-27T02:46:42.620452Z,,47.14764063,0.6204931895,6.37134311,0.9277545233,10.965625,2.11695806,test,1.965074269,0.2128535104,MLhc,SED,247.092213838,CH,MTI02,HH,,47.37927,7.16525,508.0,"bucket31$0,:3,:14401",120.0,1.0,False,2020-12-27T02:46:03.166666Z,7199.0,manual,undecidable,2020zmwrjy_CH.MTI02.,,,,,,,,,,,,,,,,,,,,,,,,,,ZNE
2,2020zmwrjy,2020-12-27T02:46:42.620452Z,,47.14764063,0.6204931895,6.37134311,0.9277545233,10.965625,2.11695806,test,1.965074269,0.2128535104,MLhc,SED,328.40155223,CH,SMOE,HG,,46.6718,6.80111,527.0,"bucket1$1,:3,:30001",250.0,1.0,False,2020-12-27T02:45:53.584000Z,,,,2020zmwrjy_CH.SMOE.,14999.0,manual,negative,,,,,,,,,,,,,,,,,,,,,,,ZNE
3,2020zmwrjy,2020-12-27T02:46:42.620452Z,,47.14764063,0.6204931895,6.37134311,0.9277545233,10.965625,2.11695806,test,1.965074269,0.2128535104,MLhc,SED,313.13751796,CH,TORNY,HH,,46.77363,6.95874,710.0,"bucket0$0,:3,:24001",200.0,1.0,False,2020-12-27T02:45:53.345000Z,,,,2020zmwrjy_CH.TORNY.,11999.0,manual,negative,,,,,,,,,,,,,,,,,,,,,,,ZNE
4,2020zmwrjy,2020-12-27T02:46:42.620452Z,,47.14764063,0.6204931895,6.37134311,0.9277545233,10.965625,2.11695806,test,1.965074269,0.2128535104,MLhc,SED,315.052690637,CH,SCHAT,HG,,46.83148,6.83527,489.9,"bucket1$2,:3,:30001",250.0,1.0,False,2020-12-27T02:45:51.784000Z,,,,2020zmwrjy_CH.SCHAT.,,,,14999.0,manual,negative,,,,,,,,,,,,,,,,,,,,ZNE
5,2020zmwrjy,2020-12-27T02:46:42.620452Z,,47.14764063,0.6204931895,6.37134311,0.9277545233,10.965625,2.11695806,test,1.965074269,0.2128535104,MLhc,SED,282.837245255,CH,SLCF,HG,,47.08296,6.79236,1017.0,"bucket1$3,:3,:30001",250.0,1.0,False,2020-12-27T02:45:49.100000Z,,,,2020zmwrjy_CH.SLCF.,,,,15000.0,manual,undecidable,,,,,,,,,,,,,,,,,,,,ZNE
6,2020zmwrjy,2020-12-27T02:46:42.620452Z,,47.14764063,0.6204931895,6.37134311,0.9277545233,10.965625,2.11695806,test,1.965074269,0.2128535104,MLhc,SED,341.700557394,CH,BRANT,HH,,46.93801,6.47298,1145.0,"bucket0$1,:3,:24709",200.0,1.0,False,2020-12-27T02:45:47.069998Z,,,,2020zmwrjy_CH.BRANT.,,,,11999.0,manual,negative,12708.0,manual,undecidable,,,,,,,,,,,,,,,,,ZNE
7,2020zkiinr,2020-12-25T17:25:04.485716Z,,45.70008398,0.4534423093,6.928257336,0.5281251229,4.978515625,1.946449877,test,1.588654286,0.1840236388,MLhc,SED,193.102843469,CH,GRYON,HH,,46.25053,7.11106,1282.0,"bucket0$2,:3,:24001",200.0,1.0,False,2020-12-25T17:24:15.360000Z,,,,2020zkiinr_CH.GRYON.,,,,11999.0,manual,positive,,,,,,,,,,,,,,,,,,,,ZNE
8,2020zkiinr,2020-12-25T17:25:04.485716Z,,45.70008398,0.4534423093,6.928257336,0.5281251229,4.978515625,1.946449877,test,1.588654286,0.1840236388,MLhc,SED,180.937185403,CH,ILLEZ,HH,,46.21934,6.94038,1395.0,"bucket0$3,:3,:24001",200.0,1.0,False,2020-12-25T17:24:14.430000Z,,,,2020zkiinr_CH.ILLEZ.,,,,12000.0,manual,undecidable,,,,,,,,,,,,,,,,,,,,ZNE
9,2020zkiinr,2020-12-25T17:25:04.485716Z,,45.70008398,0.4534423093,6.928257336,0.5281251229,4.978515625,1.946449877,test,1.588654286,0.1840236388,MLhc,SED,187.547257565,CH,LAVEY,EH,BT,46.2,7.022778,423.0,"bucket0$4,:3,:25246",200.0,0.333333333333,False,2020-12-25T17:24:14.155000Z,,,,2020zkiinr_CH.LAVEY.BT,,,,11999.0,manual,positive,13244.0,manual,undecidable,,,,,,,,,,,,,,,,,ZNE
